movie_title,movie_id,imdb_link,imdb_score,movie_budget,release_day,release_month,release_year,duration,language,country,maturity_rating,aspect_ratio,distributor,nb_news_articles,director,actor1,actor1_star_meter,actor2,actor2_star_meter,actor3,actor3_star_meter,colour_film,genres,nb_faces,plot_keywords,action,adventure,scifi,thriller,musical,romance,western,sport,horror,drama,war,animation,crime,movie_meter_IMDBpro,cinematographer,production_company
Run All Night,5177,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,6.6,50000000,13,Mar,2015,114,English,USA,R,2.35,Warner Bros.,631,Jaume Collet-Serra,Liam Neeson,513,Common,1954,Bruce McGill,4461,Color,Action|Crime|Drama|Thriller,2,death|drug dealer|limousine|limousine driver|one night,1,0,0,1,0,0,0,0,0,1,0,0,1,3309,Martin Ruhe,Warner Bros.
The Adventures of Pinocchio,5186,http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1,5.3,25000000,26,Jul,1996,90,Italian,UK,G,2.35,New Line Cinema,46,Steve Barron,Martin Landau,4184,Udo Kier,3001,Bebe Neuwirth,2814,Color,Adventure|Family|Fantasy|Musical,2,based on novel|human becoming an animal|slow motion|transformation|young boy,0,1,0,0,1,0,0,0,0,0,0,0,0,14198,Juan Ruiz Anchaada,New Line Cinema
Hollywood Ending,5188,http://www.imdb.com/title/tt0278823/?ref_=fn_tt_tt_1,6.6,16000000,3,May,2002,112,English,USA,PG-13,1.85,WestEnd Films,273,Woody Allen,Woody Allen,1238,Debra Messing,1958,Treat Williams,4071,Color,Comedy|Romance,0,blind|director|psychosomatic blindness|self deprecating|studio,0,0,0,0,0,1,0,0,0,0,0,0,0,19933,Wedigo von Schultzendorff,DreamWorks
Party Monster,5189,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,6.3,5000000,18,Jan,2003,98,English,USA,R,1.85,Fortissimo Films,79,Fenton Bailey,Macaulay Culkin,1578,Mia Kirshner,1808,Marilyn Manson,3596,Color,Biography|Crime|Drama|Thriller,1,drug dealer|drugs|gay|homosexual|party,0,0,0,1,0,0,0,0,0,1,0,0,1,8924,Teodoro Maniaci,World of Wonder
The Oxford Murders,5203,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,6.1,10000000,2,Jul,2010,104,English,Spain,R,2.35,Magnolia Pictures,73,Álex de la Iglesia,Jim Carter,5469,Leonor Watling,12886,Danny Sapani,9950,Color,Crime|Mystery|Thriller,4,landlady|lecture|murder|oxford university|symbol,0,0,0,1,0,0,0,0,0,0,0,0,1,12140,Kiko de la Rica,Canal+ EspaÌÄå±a
Hatchet,5215,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,5.7,1500000,27,Apr,2006,93,English,USA,R,1.85,Echo Bridge Entertainment,1505,Adam Green,Joel David Moore,5508,Kane Hodder,3963,Joel Murray,7144,Color,Comedy|Horror,0,bayou|boat|louisiana|swamp|tour,0,0,0,0,0,0,0,0,1,0,0,0,0,6722,Will Barratt,ArieScope Pictures
Marie Antoinette,5221,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,6.4,40000000,20,Oct,2006,123,English,USA,PG-13,1.85,Columbia Pictures Corporation,596,Sofia Coppola,Kirsten Dunst,345,Shirley Henderson,2285,Rip Torn,3740,Color,Biography|Drama|History|Romance,1,austria|cake|france|queen|versailles,0,0,0,0,0,1,0,0,0,1,0,0,0,2136,Lance Acord,Columbia Pictures Corporation
Beetlejuice,5231,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,7.5,15000000,30,Mar,1988,92,English,USA,PG,1.85,Warner Bros.,1624,Tim Burton,Catherine O'Hara,1870,Jeffrey Jones,3235,Glenn Shadix,8643,Color,Comedy|Fantasy,3,attic|ghost|surrealism|teenage girl|yuppie,0,0,0,0,0,0,0,0,0,0,0,0,0,433,Thomas E. Ackerman,The Geffen Company
127 Hours,5234,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,7.6,18000000,28,Jan,2011,94,English,USA,R,1.85,Fox Searchlight Pictures,77,Danny Boyle,James Franco,343,Treat Williams,4071,Kate Burton,6428,Color,Adventure|Biography|Drama|Thriller,0,alone|aron ralston|based on autobiography|canyon|survival,0,1,0,1,0,0,0,0,0,1,0,0,0,3100,multiple,Path
Safe Haven,5237,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,6.7,28000000,14,Feb,2013,115,English,USA,PG-13,2.35,FilmNation Entertainment,1192,Lasse HallstrÌÄå_m,David Lyons,5431,Noah Lomax,27324,Mimi Kirkland,20006,Color,Drama|Romance|Thriller,0,abusive husband|chick flick|north carolina|secret|widower,0,0,0,1,0,1,0,0,0,1,0,0,0,3278,Terry Stacey,Relativity Media
A Man Apart,5238,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,6.1,36000000,4,Apr,2003,109,English,USA,R,2.35,New Line Cinema,125,F. Gary Gray,Vin Diesel,577,Jeff Kober,3075,Larenz Tate,5830,Color,Action|Crime|Drama|Thriller,0,bust|dea|drug cartel|justice|tragic hero,1,0,0,1,0,0,0,0,0,1,0,0,1,9469,Jack N. Green,DIA Productions GmbH & Co. KG
High School Musical 3: Senior Year,5240,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,4.5,11000000,24,Oct,2008,112,English,USA,G,1.85,Walt Disney Studios Motion Pictures,675,Kenny Ortega,Lucas Grabeel,4439,Matt Prokop,12469,Corbin Bleu,7890,Color,Comedy|Drama|Family|Music|Musical|Romance,1,basketball|curtain call|graduation|high school|high school senior,0,0,0,0,1,1,0,0,0,1,0,0,0,5598,Daniel Aranyab3,Walt Disney Pictures
Requiem for a Dream,5248,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,8.4,4500000,15,Dec,2000,102,English,USA,R,1.37,Artisan Entertainment,1345,Darren Aronofsky,Ellen Burstyn,2776,Mark Margolis,2586,Louise Lasser,13379,Color,Drama,0,addiction|diet pill|drug addiction|fast motion scene|heroin,0,0,0,0,0,0,0,0,0,1,0,0,0,695,Matthew Libatique,Artisan Entertainment
Love Actually,5250,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,7.7,45000000,14,Nov,2003,129,English,UK,R,2.35,Universal Pictures,2303,Richard Curtis,Colin Firth,987,Liam Neeson,513,Kris Marshall,5461,Color,Comedy|Drama|Romance,9,aging rocker|christmas|love at first sight|minister|prime minister,0,0,0,0,0,1,0,0,0,1,0,0,0,957,Michael Coulter,Universal Pictures
Secondhand Lions,5261,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,7.6,30000000,19,Sep,2003,111,English,USA,PG,1.85,New Line Cinema,78,Tim McCanlies,Haley Joel Osment,463,Robert Duvall,1739,Emmanuelle Vaugier,2151,Color,Comedy|Drama|Family,1,africa|eyeglasses|money|texas|veteran,0,0,0,0,0,0,0,0,0,1,0,0,0,5021,Jack N. Green,New Line Cinema
Beverly Hills Cop,5263,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,7.3,14000000,5,Dec,1984,105,English,USA,R,1.85,Paramount Pictures,1294,Martin Brest,Judge Reinhold,3155,Ronny Cox,6723,James Russo,8967,Color,Action|Comedy|Crime,1,drug dealer|drugs|murder|police brutality|police shootout,1,0,0,0,0,0,0,0,0,0,0,0,1,2477,Bruce Surtees,Paramount Pictures
Mad Max Beyond Thunderdome,5265,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,6.2,12305523,10,Jul,1985,107,English,Australia,PG-13,2.35,Warner Bros.,311,George Miller,Tina Turner,7189,Bruce Spence,4974,Angelo Rossitto,21659,Color,Action|Adventure|Sci-Fi|Thriller,2,arena|desert|fight|mad max|post apocalypse,1,1,1,1,0,0,0,0,0,0,0,0,0,3800,Dean Semler,Kennedy Miller Productions
Mystic River,5278,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,8,25000000,15,Oct,2003,138,English,USA,R,2.35,Warner Bros.,1495,Clint Eastwood,John Doman,7875,Spencer Treat Clark,406,Tom Guiry,6432,Color,Crime|Drama|Mystery|Thriller,0,ballistics|detective|friend|gun|sexual abuse,0,0,0,1,0,0,0,0,0,1,0,0,1,1301,Tom Stern,Warner Bros.
A Guy Thing,5288,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,5.6,20000000,17,Jan,2003,101,English,USA,PG-13,1.85,Metro-Goldwyn-Mayer (MGM),12,Chris Koch,Thomas Lennon,2216,Lochlyn Munro,2203,James Brolin,1947,Color,Comedy|Romance,3,bachelor party|climbing a tree|taxi|toilet|wedding,0,0,0,0,0,1,0,0,0,0,0,0,0,10936,Robbie Greenberg,Metro-Goldwyn-Mayer (MGM)
The Last of the Mohicans,5300,http://www.imdb.com/title/tt0104691/?ref_=fn_tt_tt_1,7.8,40000000,25,Sep,1992,117,English,USA,R,2.35,Twentieth Century Fox,241,Michael Mann,Wes Studi,3253,Terry Kinney,10184,Eric Schweig,7219,Color,Action|Adventure|Drama|Romance|War,1,18th century|based on novel|colonel|french and indian war|revenge,1,1,0,0,0,1,0,0,0,1,1,0,0,1421,Dante Spinotti,Morgan Creek Entertainment Group
The Silence of the Lambs,5317,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,8.6,19000000,14,Feb,1991,138,English,USA,R,1.85,Orion Pictures,2100,Jonathan Demme,Anthony Hopkins,671,Scott Glenn,1666,Anthony Heald,11529,Color,Crime|Drama|Horror|Thriller,0,case file|fbi agent|psycho thriller|psychopath|serial killer,0,0,0,1,0,0,0,0,1,1,0,0,1,536,Tak Fujimoto,Strong Heart/Demme Production
Grosse Pointe Blank,5318,http://www.imdb.com/title/tt0119229/?ref_=fn_tt_tt_1,7.4,15000000,11,Apr,1997,107,English,USA,R,1.85,Buena Vista Pictures Distribution,258,George Armitage,Minnie Driver,1452,Michael Cudlitz,2352,Mitchell Ryan,9484,Color,Action|Comedy|Crime|Romance|Thriller,1,assassin|high school|high school reunion|reunion|suburb,1,0,0,1,0,1,0,0,0,0,0,0,1,4755,Jamie Anderson,Hollywood Pictures
We're the Millers,5321,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,7,37000000,7,Aug,2013,118,English,USA,R,2.35,Warner Bros.,1023,Rawson Marshall Thurber,Laura-Leigh,6931,Molly C. Quinn,2331,Thomas Lennon,2216,Color,Comedy|Crime,4,fake family|male frontal nudity|marijuana|mexico|stripper,0,0,0,0,0,0,0,0,0,0,0,0,1,1092,Barry Peterson,New Line Cinema
Tammy,5322,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,4.9,20000000,2,Jul,2014,100,English,USA,R,1.85,Warner Bros.,776,Ben Falcone,Gary Cole,2824,Mark Duplass,2819,Ben Falcone,5661,Color,Comedy,0,alcoholic|grandmother|highway travel|niagara falls|on the road,0,0,0,0,0,0,0,0,0,0,0,0,0,6173,Russ T. Alsobrook,Gary Sanchez Productions
The Medallion,5326,http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,5.2,41000000,22,Aug,2003,108,English,Hong Kong,PG-13,2.35,TriStar Pictures,46,Gordon Chan,Julian Sands,3228,Lee Evans,7010,Anthony Chau-Sang Wong,8593,Color,Action|Comedy|Fantasy,1,hong kong|interpol|medallion|ship|tough cop,1,0,0,0,0,0,0,0,0,0,0,0,0,8874,Arthur Wong,Emperor Multimedia Group (EMG)
"Synecdoche, New York",5329,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,7.5,21000000,21,Nov,2008,124,English,USA,R,2.35,Kimmel International,14,Charlie Kaufman,Philip Seymour Hoffman,1232,Jennifer Jason Leigh,84,Samantha Morton,620,Color,Comedy|Drama|Romance,0,actress|director|play|theatre director|warehouse,0,0,0,0,0,1,0,0,0,1,0,0,0,4745,Frederick Elmes,Sidney Kimmel Entertainment
The Lizzie McGuire Movie,5337,http://www.imdb.com/title/tt0306841/?ref_=fn_tt_tt_1,5.3,17000000,2,May,2003,94,English,USA,PG,2.35,Buena Vista Pictures Distribution,49,Jim Fall,Clayton Snyder,15241,Adam Lamberg,10756,Alex Borstein,284,Color,Adventure|Comedy|Family|Music|Romance,1,best friend|roma|singer|spaghetti|teenager,0,1,0,0,1,1,0,0,0,0,0,0,0,7011,Jerzy Zielinski,Walt Disney Pictures
Moneyball,5339,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,7.6,50000000,23,Sep,2011,133,English,USA,PG-13,1.85,Columbia Pictures Corporation,4848,Bennett Miller,Philip Seymour Hoffman,1232,Robin Wright,491,Brad Pitt,134,Color,Biography|Drama|Sport,1,baseball|meeting|statistics|strategy|voice over,0,0,0,0,0,0,0,1,0,1,0,0,0,1545,Wally Pfister,Columbia Pictures Corporation
The Misfits,5343,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,7.4,4000000,1,Feb,1961,120,English,USA,Approved,1.66,United Artists,169,John Huston,Montgomery Clift,6637,Kevin McCarthy,8928,Thelma Ritter,14115,Black and White,Drama|Romance|Western,2,cowboy|divorce|horse|sexy|wild horse,0,0,0,0,0,1,1,0,0,1,0,0,0,9455,Russell Metty,Seven Arts Productions
Underworld,5349,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,7,22000000,19,Sep,2003,133,English,UK,R,2.35,Screen Gems,3345,Len Wiseman,Sophia Myles,2073,Kevin Grevioux,11890,Shane Brolly,13042,Color,Action|Fantasy|Thriller,0,blood|death|hybrid|vampire|werewolf,1,0,0,1,0,0,0,0,0,0,0,0,0,1750,Tony Pierce-Roberts,Lakeshore Entertainment
Back to the Future Part II,5372,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,7.8,40000000,22,Nov,1989,108,English,USA,PG,1.85,Universal Pictures,551,Robert Zemeckis,Lea Thompson,976,Jeffrey Weissman,9277,Thomas F. Wilson,3149,Color,Adventure|Comedy|Sci-Fi,0,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,0,1,1,0,0,0,0,0,0,0,0,0,0,2087,Dean Cundey,Universal Pictures
The Island of Dr. Moreau,5374,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,4.4,40000000,23,Aug,1996,99,English,USA,PG-13,2.35,New Line Cinema,161,John Frankenheimer,Marlon Brando,785,Temuera Morrison,4731,Marco Hofschneider,25746,Color,Horror|Sci-Fi|Thriller,2,animal experimentation|chimera|island|jungle|mutant,0,0,1,1,0,0,0,0,1,0,0,0,0,5052,William A. Fraker,New Line Cinema
Bobby,5391,http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1,7,14000000,23,Nov,2006,112,English,USA,R,2.35,The Weinstein Company,487,Emilio Estevez,Anthony Hopkins,671,Nick Cannon,6312,Brian Geraghty,4542,Color,Drama|History,0,campaign|chess|friend|hotel|senator,0,0,0,0,0,0,0,0,0,1,0,0,0,9179,Michael Barrett,The Weinstein Company
One Day,5401,http://www.imdb.com/title/tt1563738/?ref_=fn_tt_tt_1,7,15000000,19,Aug,2011,107,English,USA,PG-13,2.35,Focus Features,2218,Lone Scherfig,Anne Hathaway,266,Jim Sturgess,2533,Rafe Spall,1159,Color,Drama|Romance,0,23 year time span|accidental death|best friend|loss of loved one|male female friendship,0,0,0,0,0,1,0,0,0,1,0,0,0,2364,Benoaaet Delhomme,Focus Features
Beerfest,5408,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,6.3,17500000,25,Aug,2006,110,English,USA,R,2.35,Warner Bros.,209,Jay Chandrasekhar,Chris Moss,76725,Owain Yeoman,5462,Jay Chandrasekhar,6054,Color,Comedy,2,beer|competition|germany|oktoberfest|prostitute,0,0,0,0,0,0,0,0,0,0,0,0,0,5913,Frank G. DeMarco,Warner Bros.
Hardflip,5409,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,5.6,1000000,1,Jun,2012,112,English,USA,PG-13,1.85,Mission Pictures International,2,Johnny Remo,Matthew Ziff,57990,Randy Wayne,7794,Raquel Elizabeth Ames,176338,Color,Action|Drama,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,1,0,0,0,0,0,0,0,0,1,0,0,0,85756,Rudy Harbon,Skipstone Pictures
Scrooged,5413,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,7,32000000,23,Nov,1988,101,English,USA,PG-13,1.85,Paramount Pictures,311,Richard Donner,Bill Murray,1278,Alfre Woodard,2735,Robert Mitchum,4057,Color,Comedy|Drama|Fantasy,1,christmas|compassion|executive|ghost|redemption,0,0,0,0,0,0,0,0,0,1,0,0,0,8149,Michael Chapman,Paramount Pictures
Close Encounters of the Third Kind,5414,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,7.7,19400870,14,Dec,1977,135,English,USA,PG,2.35,Columbia Pictures Corporation,1315,Steven Spielberg,Bob Balaban,6492,Teri Garr,2545,Melinda Dillon,7217,Color,Drama|Sci-Fi,0,alien|close encounter of the third kind|mothership|ufo|vision,0,0,1,0,0,0,0,0,0,1,0,0,0,2779,Vilmos Zsigmond,Julia Phillips and Michael Phillips Productions
The Virgin Suicides,5417,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,7.2,6000000,19,May,2000,90,English,USA,R,1.85,Paramount Home Video,445,Sofia Coppola,Kirsten Dunst,345,Kathleen Turner,1435,Scott Glenn,1666,Color,Drama|Romance,0,catholic|five sisters|isolation|school|suicide,0,0,0,0,0,1,0,0,0,1,0,0,0,2914,Edward Lachman,American Zoetrope
Think Like a Man Too,5418,http://www.imdb.com/title/tt2239832/?ref_=fn_tt_tt_1,5.7,24000000,20,Jun,2014,106,English,USA,PG-13,2.35,Screen Gems,417,Tim Story,Romany Malco,604,Regina Hall,2584,David Walton,4759,Color,Comedy|Romance,8,african american|imperative in title|las vegas nevada|nevada|wedding,0,0,0,0,0,1,0,0,0,0,0,0,0,7408,Christopher Duskin,LStar Capital
Capote,5419,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,7.4,7000000,3,Feb,2006,110,English,Canada,R,2.35,Metro-Goldwyn-Mayer Distributing Corporation (MGM),1325,Bennett Miller,Philip Seymour Hoffman,1232,Michael J. Burg,52493,Kwesi Ameyaw,40977,Color,Biography|Crime|Drama,1,book|holcomb kansas|kansas|killer|truman capote,0,0,0,0,0,0,0,0,0,1,0,0,1,4600,Adam Kimmel,United Artists
Hall Pass,5455,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,5.9,36000000,25,Feb,2011,111,English,USA,R,2.35,New Line Cinema,1249,Bobby Farrelly,Jenna Fischer,424,Larry Joe Campbell,7804,Stephen Merchant,3065,Color,Comedy|Romance,3,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,0,0,0,0,0,1,0,0,0,0,0,0,0,4019,Matthew F. Leonetti,New Line Cinema
The Net,5464,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,5.8,22000000,28,Jul,1995,114,English,USA,PG-13,1.85,Columbia Pictures Corporation,78,Irwin Winkler,Ken Howard,7139,Jeremy Northam,4703,Ray McKinnon,4849,Color,Action|Crime|Drama|Mystery|Thriller,0,chat room|computer|computer hacker|identity|identity theft,1,0,0,1,0,0,0,0,0,1,0,0,1,3048,Jack N. Green,Columbia Pictures Corporation
16 Blocks,5468,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,6.6,52000000,3,Mar,2006,102,English,Germany,PG-13,2.35,Warner Bros.,11,Richard Donner,Bruce Willis,254,David Zayas,5879,Sasha Roiz,4382,Color,Action|Crime|Drama|Thriller,2,alcoholic|courthouse|detective|jail|witness,1,0,0,1,0,0,0,0,0,1,0,0,1,9791,Glen MacPherson,Alcon Entertainment
The One,5478,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,5.9,49000000,2,Nov,2001,85,English,USA,PG-13,2.35,Columbia Pictures Corporation,104,James Wong,Jason Statham,304,Jet Li,2653,Delroy Lindo,6475,Color,Action|Sci-Fi|Thriller,1,fight|multiverse|police|police officer|prison,1,0,1,1,0,0,0,0,0,0,0,0,0,6668,Robert McLachlan,Revolution Studios
In & Out,5479,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,6.3,35000000,19,Sep,1997,90,English,USA,PG-13,1.85,Paramount Pictures,136,Frank Oz,Tom Selleck,517,Wilford Brimley,1905,Lauren Ambrose,3192,Color,Comedy,0,academy award|gay|high school|reporter|teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,6540,Rob Hahn,Paramount Pictures
The Odd Life of Timothy Green,5499,http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1,6.6,25000000,15,Aug,2012,105,English,USA,PG,1.85,Walt Disney Studios Motion Pictures,470,Peter Hedges,Jennifer Garner,440,Odeya Rush,940,Common,1954,Color,Comedy|Drama|Family|Fantasy,0,dodgeball|portrait|soccer|soccer game|young love,0,0,0,0,0,0,0,0,0,1,0,0,0,5885,John Toll,Monsterfoot Productions
Courage,5504,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,7,20000000,26,Oct,2015,118,English,USA,PG,2.35,Agua Dulce Films,0,Angelo Pizzo,Donny Boaz,21406,Finn Wittrock,1214,Brent Anderson,50756,Color,Biography|Drama|Sport,4,coach|football|football movie|football team|high school sweethearts,0,0,0,0,0,0,0,1,0,1,0,0,0,416576,Mario Garcaada Joya,Agua Dulce Films
Hoffa,5505,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,6.6,35000000,25,Dec,1992,140,English,USA,R,2.35,Twentieth Century Fox,41,Danny DeVito,Frank Whaley,3256,J.T. Walsh,2097,Paul Guilfoyle,10551,Color,Biography|Crime|Drama,2,labor|labor union|leader|mafia|union,0,0,0,0,0,0,0,0,0,1,0,0,1,10301,Stephen H. Burum,Twentieth Century Fox
The Age of Adaline,5513,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,7.2,25000000,24,Apr,2015,112,English,USA,PG-13,2.35,Lionsgate,477,Lee Toland Krieger,Harrison Ford,413,Michiel Huisman,412,Ellen Burstyn,2776,Color,Drama|Fantasy|Romance,1,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,0,0,0,0,0,1,0,0,0,1,0,0,0,1393,David Lanzenberg,Lakeshore Entertainment
Resurrecting the Champ,5514,http://www.imdb.com/title/tt0416185/?ref_=fn_tt_tt_1,6.8,13000000,24,Aug,2007,112,English,USA,PG-13,2.35,Premiere Entertainment Group,54,Rod Lurie,Harry Lennix,6510,Kathryn Morris,2982,Peter Coyote,2768,Color,Drama|Sport,1,boxing|colosseum|homeless man|reporter|writer,0,0,0,0,0,0,0,1,0,1,0,0,0,21151,Adam Kane,Phoenix Pictures
Made,5515,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,6.4,5000000,10,Jan,2003,95,English,USA,R,1.85,Music Television (MTV),343,Jon Favreau,Jon Favreau,595,Faizon Love,9596,Jonathan Silverman,6856,Color,Comedy|Crime|Drama|Thriller,2,friendship|loudmouth|money laundering|new york city|stripper,0,0,0,1,0,0,0,0,0,1,0,0,1,80078,multiple,One Louder Entertainment
Divine Secrets of the Ya-Ya Sisterhood,5525,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,6,27000000,7,Jun,2002,116,English,USA,PG-13,2.35,Warner Bros.,38,Callie Khouri,Ellen Burstyn,2776,Fionnula Flanagan,5241,Matthew Settle,4402,Color,Drama,4,flashback|interview|louisiana|playwright|secret society,0,0,0,0,0,0,0,0,0,1,0,0,0,10961,John Bailey,All Girl Productions
Freddy vs. Jason,5530,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,5.8,30000000,15,Aug,2003,97,English,USA,R,2.35,New Line Cinema,750,Ronny Yu,Katharine Isabelle,1080,Jason Ritter,2686,Zack Ward,5030,Color,Action|Horror|Thriller,0,elm street|freddy krueger|jason voorhees|serial killer|slasher,1,0,0,1,0,0,0,0,1,0,0,0,0,1934,Fred Murphy,New Line Cinema
Earth to Echo,5545,http://www.imdb.com/title/tt2183034/?ref_=fn_tt_tt_1,5.8,13000000,2,Jul,2014,91,English,USA,PG,1.85,Relativity Media,472,Dave Green,Teo Halm,30265,Ella Wahlestedt,28931,Jason Gray-Stanford,5211,Color,Adventure|Family|Sci-Fi,0,alien|bar|construction worker|no opening credits|no title at beginning,0,1,1,0,0,0,0,0,0,0,0,0,0,11667,Maxime Alexandre,Relativity Media
American Graffiti,5560,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,7.5,777000,11,Aug,1973,112,English,USA,PG,2.35,Universal Pictures,660,George Lucas,Harrison Ford,413,Ron Howard,614,Mackenzie Phillips,3724,Color,Comedy|Drama|Music,1,california|car|drag racing|high school|rock 'n' roll,0,0,0,0,1,0,0,0,0,1,0,0,0,1708,multiple,Universal Pictures
Underworld: Evolution,5562,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,6.8,50000000,20,Jan,2006,102,English,USA,R,2.35,Screen Gems,334,Len Wiseman,Sophia Myles,2073,Tony Curran,3006,Derek Jacobi,4025,Color,Action|Adventure|Fantasy|Sci-Fi|Thriller,1,death|feud|forbidden love|vampire|werewolf,1,1,1,1,0,0,0,0,0,0,0,0,0,4519,Simon Duggan,Screen Gems
Nim's Island,5571,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,6,37000000,4,Apr,2008,96,English,USA,PG,2.35,Summit Entertainment,90,Jennifer Flackett,Gerard Butler,371,Anthony Simcoe,15687,Christopher James Baker,7659,Color,Adventure|Comedy|Family|Fantasy,3,author|girl|island|reading|scientist,0,1,0,0,0,0,0,0,0,0,0,0,0,9766,Stuart Dryburgh,Walden Media
On Her Majesty's Secret Service,5578,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,6.8,7000000,19,Dec,1969,142,English,UK,M,2.35,United Artists,300,Peter R. Hunt,Telly Savalas,7238,George Lazenby,5261,Desmond Llewelyn,8347,Color,Action|Adventure|Thriller,2,bond girl|british|mission|portugal|switzerland,1,1,0,1,0,0,0,0,0,0,0,0,0,2915,Michael Reed,Eon Productions
The Innkeepers,5606,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,5.5,750000,12,Mar,2011,101,English,USA,R,2.35,Dark Sky Films,1157,Ti West,Lena Dunham,1411,Jake Ryan,7726,Pat Healy,13757,Color,Horror,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,0,0,0,0,0,0,0,0,1,0,0,0,0,10503,Eliot Rockett,Dark Sky Films
I Love You Phillip Morris,5621,http://www.imdb.com/title/tt1045772/?ref_=fn_tt_tt_1,6.6,13000000,7,Jan,2011,102,English,France,R,1.85,Creative Artists Agency (CAA),964,Glenn Ficarra,Dameon Clarke,18615,Louis Herthum,7112,Annie Golden,7603,Color,Biography|Comedy|Crime|Drama|Romance,0,character name in title|con artist|fraud|gay|prison break,0,0,0,0,0,1,0,0,0,1,0,0,1,7173,Xavier Grobet,EuropaCorp
Crash,5623,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,7.9,6500000,6,May,2005,115,English,Germany,R,2.35,Arclight Films,903,Paul Haggis,Don Cheadle,2907,Loretta Devine,4722,Jennifer Esposito,768,Color,Crime|Drama|Thriller,0,race relations|racism|racist|social problem|stereotype,0,0,0,1,0,0,0,0,0,1,0,0,1,1515,James M. Muro,Bob Yari Productions
Kinsey,5642,http://www.imdb.com/title/tt0362269/?ref_=fn_tt_tt_1,7.1,11000000,7,Jan,2005,118,English,USA,R,2.35,Fox Searchlight Pictures,519,Bill Condon,Liam Neeson,513,Oliver Platt,3555,Dylan Baker,5989,Black and White,Biography|Drama,0,professor|research|sex|sexuality|student,0,0,0,0,0,0,0,0,0,1,0,0,0,7648,Frederick Elmes,Fox Searchlight Pictures
